znonanowires.spc - RawData		
"Wavelength nm.,""T%"""	Transmittance	Wavelength
"775.00,71.812"	71.812	775
"776.00,71.829"	71.829	776
"777.00,71.889"	71.889	777
"778.00,71.864"	71.864	778
"779.00,71.886"	71.886	779
"780.00,71.880"	71.88	780
"781.00,71.883"	71.883	781
"782.00,71.894"	71.894	782
"783.00,72.000"	72	783
"784.00,71.991"	71.991	784
"785.00,71.970"	71.97	785
"786.00,71.832"	71.832	786
"787.00,71.826"	71.826	787
"788.00,71.864"	71.864	788
"789.00,71.952"	71.952	789
"790.00,72.014"	72.014	790
"791.00,72.093"	72.093	791
"792.00,72.065"	72.065	792
"793.00,72.053"	72.053	793
"794.00,72.027"	72.027	794
"795.00,72.080"	72.08	795
"796.00,72.150"	72.15	796
"797.00,72.201"	72.201	797
"798.00,72.132"	72.132	798
"799.00,72.124"	72.124	799
"800.00,72.038"	72.038	800
"801.00,72.106"	72.106	801
"802.00,72.034"	72.034	802
"803.00,72.094"	72.094	803
"804.00,72.094"	72.094	804
"805.00,72.129"	72.129	805
"806.00,72.105"	72.105	806
"807.00,72.140"	72.14	807
"808.00,72.055"	72.055	808
"809.00,72.167"	72.167	809
"810.00,72.178"	72.178	810
"811.00,72.316"	72.316	811
"812.00,72.210"	72.21	812
"813.00,72.181"	72.181	813
"814.00,72.131"	72.131	814
"815.00,72.230"	72.23	815
"816.00,72.268"	72.268	816
"817.00,72.294"	72.294	817
"818.00,72.295"	72.295	818
"819.00,72.400"	72.4	819
"820.00,72.418"	72.418	820
"821.00,72.510"	72.51	821
"822.00,72.485"	72.485	822
"823.00,72.457"	72.457	823
"824.00,72.234"	72.234	824
"825.00,72.175"	72.175	825
"826.00,72.113"	72.113	826
"827.00,72.203"	72.203	827
"828.00,72.281"	72.281	828
"829.00,72.426"	72.426	829
"830.00,72.331"	72.331	830
"831.00,72.110"	72.11	831
"832.00,72.007"	72.007	832
"833.00,71.886"	71.886	833
"834.00,71.815"	71.815	834
"835.00,71.841"	71.841	835
"836.00,71.935"	71.935	836
"837.00,72.023"	72.023	837
"838.00,71.976"	71.976	838
"839.00,72.059"	72.059	839
"840.00,72.171"	72.171	840
"841.00,72.098"	72.098	841
"842.00,72.021"	72.021	842
"843.00,71.880"	71.88	843
"844.00,71.920"	71.92	844
"845.00,71.974"	71.974	845
"846.00,71.988"	71.988	846
"847.00,72.051"	72.051	847
"848.00,72.084"	72.084	848
"849.00,72.154"	72.154	849
"850.00,72.050"	72.05	850
"851.00,71.988"	71.988	851
"852.00,71.919"	71.919	852
"853.00,71.957"	71.957	853
"854.00,71.983"	71.983	854
"855.00,72.061"	72.061	855
"856.00,72.133"	72.133	856
"857.00,72.207"	72.207	857
"858.00,72.197"	72.197	858
"859.00,72.162"	72.162	859
"860.00,72.149"	72.149	860
"861.00,72.127"	72.127	861
"862.00,72.163"	72.163	862
"863.00,71.977"	71.977	863
"864.00,71.982"	71.982	864
"865.00,71.993"	71.993	865
"866.00,72.172"	72.172	866
"867.00,72.166"	72.166	867
"868.00,72.151"	72.151	868
"869.00,72.160"	72.16	869
"870.00,72.192"	72.192	870
"871.00,72.243"	72.243	871
"872.00,72.223"	72.223	872
"873.00,72.213"	72.213	873
"874.00,72.211"	72.211	874
"875.00,72.185"	72.185	875
"876.00,72.305"	72.305	876
"877.00,72.226"	72.226	877
"878.00,72.338"	72.338	878
"879.00,72.264"	72.264	879
"880.00,72.286"	72.286	880
"881.00,72.090"	72.09	881
"882.00,72.145"	72.145	882
"883.00,72.149"	72.149	883
"884.00,72.264"	72.264	884
"885.00,72.184"	72.184	885
"886.00,72.269"	72.269	886
"887.00,72.249"	72.249	887
"888.00,72.265"	72.265	888
"889.00,72.253"	72.253	889
"890.00,72.316"	72.316	890
"891.00,72.363"	72.363	891
"892.00,72.322"	72.322	892
"893.00,72.293"	72.293	893
"894.00,72.287"	72.287	894
"895.00,72.302"	72.302	895
"896.00,72.315"	72.315	896
"897.00,72.220"	72.22	897
"898.00,72.154"	72.154	898
"899.00,72.100"	72.1	899
"900.00,72.114"	72.114	900
"901.00,72.159"	72.159	901
"902.00,72.249"	72.249	902
"903.00,72.307"	72.307	903
"904.00,72.401"	72.401	904
"905.00,72.342"	72.342	905
"906.00,72.289"	72.289	906
"907.00,72.200"	72.2	907
"908.00,72.224"	72.224	908
"909.00,72.193"	72.193	909
"910.00,72.210"	72.21	910
"911.00,72.192"	72.192	911
"912.00,72.207"	72.207	912
"913.00,72.133"	72.133	913
"914.00,72.078"	72.078	914
"915.00,72.127"	72.127	915
"916.00,72.196"	72.196	916
"917.00,72.244"	72.244	917
"918.00,72.229"	72.229	918
"919.00,72.256"	72.256	919
"920.00,72.213"	72.213	920
"921.00,72.248"	72.248	921
"922.00,72.198"	72.198	922
"923.00,72.217"	72.217	923
"924.00,72.168"	72.168	924
"925.00,72.113"	72.113	925
"926.00,72.098"	72.098	926
"927.00,72.138"	72.138	927
"928.00,72.188"	72.188	928
"929.00,72.179"	72.179	929
"930.00,72.147"	72.147	930
"931.00,72.112"	72.112	931
"932.00,72.140"	72.14	932
"933.00,72.136"	72.136	933
"934.00,72.172"	72.172	934
"935.00,72.148"	72.148	935
"936.00,72.130"	72.13	936
"937.00,72.112"	72.112	937
"938.00,72.129"	72.129	938
"939.00,72.160"	72.16	939
"940.00,72.128"	72.128	940
"941.00,72.099"	72.099	941
"942.00,72.043"	72.043	942
"943.00,72.059"	72.059	943
"944.00,72.030"	72.03	944
"945.00,72.023"	72.023	945
"946.00,72.025"	72.025	946
